City,Country,Lat,Lng,Humidity,Hotel,Hotel Name
vidalia,US,32.2177,-82.4135,83,,Hampton Inn Vidalia
praya,CV,14.9215,-23.5087,53,,LT Aparthotel
jhudo,PK,24.964,69.2968,37,,Nagori Gas Stor
cabo san lucas,MX,22.8909,-109.9124,73,,Hotel Tesoro Los Cabos
mecca,SA,21.4267,39.8261,66,,"Makkah Clock Royal Tower, A Fairmont Hotel"
nova olimpia,BR,-14.7972,-57.2881,36,,Motel glamour
lang son,VN,21.8333,106.7333,54,,Mường Thanh Hotel Lạng Sơn
mount gambier,AU,-37.8333,140.7667,36,,The Commodore
comodoro rivadavia,AR,-45.8667,-67.5,40,,Austral Hotel
lunglei,IN,22.8833,92.7333,52,,Hotel Elite
lengshuijiang,CN,27.6881,111.4294,40,,Jiataijia Hotel
son la,VN,21.3167,103.9,61,,Galaxy Grand Hotel
kalinagar,IN,28.6167,80.1,72,,Parampara resort
moron,AR,-34.6534,-58.6198,59,,Hotel Morón
